prompt,target
Walk over to the left side of the wooden desk. [x=-6.74; y=-4.67; yaw=3.086] the left side of the wooden desk,"{'umrf_actions': [{'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the left side of the wooden desk'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -6.74}, 'y': {'pvf_type': 'number', 'pvf_value': -4.67}, 'yaw': {'pvf_type': 'number', 'pvf_value': 3.086}}, 'robot_name': {'pvf_type': 'string', 'pvf_value': 'vaultbot'}}}]}"
move to that location [x=-1.6; y=-8.07; yaw=-1.57],"{'umrf_actions': [{'name': 'TaMoveBase', 'package_name': 'ta_move_base', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -1.6}, 'y': {'pvf_type': 'number', 'pvf_value': -8.07}, 'yaw': {'pvf_type': 'number', 'pvf_value': -1.57}}, 'reference_frame': {'pvf_type': 'string', 'pvf_value': 'base_link'}, 'robot_name': {'pvf_type': 'string', 'pvf_value': 'vaultbot'}}}]}"
"Turn to the left, walk to the wall, turn to the left again and walk up to the nightstand.  [x=1.14; y=-8.33; yaw=5.175] the wall [x=1.55; y=-9.07; yaw=-2.7] the nightstand","{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Turn to the left', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'turn to the left again', 'id': 1, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 1}], 'parents': [{'name': 'TaNavigateRobot', 'id': 0, 'required': True}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk to the wall', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the wall'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': 1.14}, 'y': {'pvf_type': 'number', 'pvf_value': -8.33}, 'yaw': {'pvf_type': 'number', 'pvf_value': 5.175}}}, 'children': [{'name': 'TaMoveRobot', 'id': 1}], 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk up to the nightstand. ', 'id': 1, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the nightstand'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk up to'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': 1.55}, 'y': {'pvf_type': 'number', 'pvf_value': -9.07}, 'yaw': {'pvf_type': 'number', 'pvf_value': -2.7}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 1, 'required': True}]}]}"
Move to the kitchen island counter top on the opposite side of the oven facing the knife [x=9.27; y=-0.22; yaw=-2.901] the kitchen island counter top on the opposite side of the oven facing the knife,"{'umrf_actions': [{'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'Move to the kitchen island counter top on the opposite side of the oven facing the knife', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the kitchen island counter top on the opposite side of the oven facing the knife'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Move to'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': 9.27}, 'y': {'pvf_type': 'number', 'pvf_value': -0.22}, 'yaw': {'pvf_type': 'number', 'pvf_value': -2.901}}}}]}"
"turn left and walk over to the stove at the end of the room, then take a left and walk over to the fridge on the right [x=-4.988; y=-3.74; yaw=9.157] the stove at the end of the room [x=-1.09; y=7.08; yaw=6.49] the fridge on the right","{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'turn left', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'take a left', 'id': 1, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'take a'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 1}], 'parents': [{'name': 'TaNavigateRobot', 'id': 0, 'required': True}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk over to the stove at the end of the room', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the stove at the end of the room'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk over to'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -4.988}, 'y': {'pvf_type': 'number', 'pvf_value': -3.74}, 'yaw': {'pvf_type': 'number', 'pvf_value': 9.157}}}, 'children': [{'name': 'TaMoveRobot', 'id': 1}], 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk over to the fridge on the right', 'id': 1, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the fridge on the right'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk over to'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -1.09}, 'y': {'pvf_type': 'number', 'pvf_value': 7.08}, 'yaw': {'pvf_type': 'number', 'pvf_value': 6.49}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 1, 'required': True}]}]}"
Turn to the left to face the microwave. [x=-8.77; y=-7.67; yaw=4.197] the microwave,"{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Turn to the left', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'face the microwave.', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'landmark': {'pvf_type': 'string', 'pvf_example': 'the microwave'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'face'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -8.77}, 'y': {'pvf_type': 'number', 'pvf_value': -7.67}, 'yaw': {'pvf_type': 'number', 'pvf_value': 4.197}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}]}"
Turn left to face the microwave. [x=-1.11; y=-1.61; yaw=1.011] the microwave,"{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Turn left', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'face the microwave.', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'landmark': {'pvf_type': 'string', 'pvf_example': 'the microwave'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'face'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -1.11}, 'y': {'pvf_type': 'number', 'pvf_value': -1.61}, 'yaw': {'pvf_type': 'number', 'pvf_value': 1.011}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}]}"
"walk forward, turn left, walk towards the stove [x=9.33; y=-3.699; yaw=-2.226] forward [x=0.04; y=5.16; yaw=-1.189] the stove","{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'turn left', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 1}], 'parents': [{'name': 'TaNavigateRobot', 'id': 0, 'required': True}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk forward', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'forward'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': 9.33}, 'y': {'pvf_type': 'number', 'pvf_value': -3.699}, 'yaw': {'pvf_type': 'number', 'pvf_value': -2.226}}}, 'children': [{'name': 'TaMoveRobot', 'id': 0}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk towards the stove', 'id': 1, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the stove'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk towards'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': 0.04}, 'y': {'pvf_type': 'number', 'pvf_value': 5.16}, 'yaw': {'pvf_type': 'number', 'pvf_value': -1.189}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}]}"
Move to the night stand to the right of the bed facing the clock [x=9.52; y=-0.21; yaw=3.65] the night stand to the right of the bed facing the clock,"{'umrf_actions': [{'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'Move to the night stand to the right of the bed facing the clock', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the night stand to the right of the bed facing the clock'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Move'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': 9.52}, 'y': {'pvf_type': 'number', 'pvf_value': -0.21}, 'yaw': {'pvf_type': 'number', 'pvf_value': 3.65}}, 'robot_name': {'pvf_type': 'string', 'pvf_value': 'vaultbot'}}}]}"
Turn around and walk up to the end of the bed. [x=-8.02; y=-6.67; yaw=1.957] the end of the bed,"{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Turn around', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'around'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk up to the end of the bed.', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the end of the bed'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk up to'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -8.02}, 'y': {'pvf_type': 'number', 'pvf_value': -6.67}, 'yaw': {'pvf_type': 'number', 'pvf_value': 1.957}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}]}"
